,id,name,url,summary,picture,birthplace,deathplace,birthdate,deathdate,cause_of_death,last name
112,112,"dyck, sir anthony van",https://www.wikigallery.org//wiki/artist63235/%28after%29-Dyck%2C-Sir-Anthony-van/page-1,"Sir Anthony van Dyck (Dutch pronunciation: [vɑn ˈdɛik], many variant spellings; 22 March 1599 – 9 December 1641) was a Flemish Baroque artist who became the leading court painter in England after success in the Spanish Netherlands and Italy.
The seventh child of Frans van Dyck, a wealthy Antwerp silk merchant, Anthony painted from an early age. He was successful as an independent painter in his late teens, and became a master in the Antwerp guild in 1618. By this time he was working in the studio of the leading northern painter of the day, Peter Paul Rubens, who became a major influence on his work.  
Van Dyck worked in London for some months in 1621, then returned to Flanders for a brief time, before travelling to Italy, where he stayed until 1627, mostly in Genoa. In the late 1620s he completed his greatly admired Iconography series of portrait etchings, mostly of other artists. He spent five years in Flanders after his return from Italy, and from 1630 was court painter for the archduchess Isabella, Habsburg Governor of Flanders. In 1632, he returned to London to be the main court painter, at the request of Charles I of England.
With the exception of Holbein, van Dyck and his contemporary Diego Velázquez were the first painters of pre-eminent talent to work mainly as court portraitists, revolutionising the genre. He is best known for his portraits of the aristocracy, most notably Charles I, and his family and associates. Van Dyck became the dominant influence on English portrait-painting for the next 150 years. He also painted mythological and biblical subjects, including altarpieces, displayed outstanding facility as a draughtsman, and was an important innovator in watercolour and etching.  
His influence extends into the modern period. The Van Dyke beard is named after him. During his lifetime, Charles I granted him a knighthood, and he was buried in St Paul's Cathedral, an indication of his standing at the time of his death.",112.0,66.0,7.0,,1641-12-09,,van
113,113,louis anquetin,https://www.wikigallery.org//wiki/artist35401/Louis-Anquetin/page-1,Louis Émile Anquetin (26 January 1861 – 19 August 1932) was a French painter.,,,,,,,anquetin
114,114,sir david wilkie,https://www.wikigallery.org//wiki/artist35390/Sir-David-Wilkie/page-1,,,,,,,,wilkie
116,116,auguste joseph marie de mersseman,https://www.wikigallery.org//wiki/artist57946/Auguste-Joseph-Marie-De-Mersseman/page-1,,,,,,,,mersseman
117,117,peter monamy,https://www.wikigallery.org//wiki/artist55882/Peter-Monamy/page-1,Peter Monamy was an English marine painter who lived between 1681 and 1749.,117.0,67.0,7.0,,1749-02-07,,monamy
118,118,axel birkhammer,https://www.wikigallery.org//wiki/artist57926/Axel-Birkhammer/page-1,,,,,,,,birkhammer
119,119,charles-francois daubigny,https://www.wikigallery.org//wiki/artist34571/Charles-Francois-Daubigny/page-1,"Charles-François Daubigny ( DOH-bin-yee, US:  DOH-been-YEE, doh-BEEN-yee, French: [ʃaʁl fʁɑ̃swa dobiɲi]; 15 February 1817 – 19 February 1878) was a French painter, one of the members of the Barbizon school, and is considered an important precursor of impressionism.
He was also a prolific printmaker, mostly in etching but also as one of the main artists to use the cliché verre technique.",119.0,2.0,2.0,1817-02-15,1878-02-19,,daubigny
121,121,arthur w. perry,https://www.wikigallery.org//wiki/artist57857/Arthur-W.-Perry/page-1,"Perry Mason is a fictional character, an American criminal defense lawyer who is the main character in works of detective fiction written by Erle Stanley Gardner. Perry Mason features in 82 novels and 4 short stories, all of which involve a client being charged with murder, usually involving a preliminary hearing or jury trial. Typically, Mason establishes his client's innocence by finding the real murderer. The character was inspired by famed Los Angeles criminal defense attorney Earl Rogers.The character of Perry Mason was adapted for motion pictures and a long-running radio series. These were followed by the best known adaptation, the CBS television series Perry Mason (1957–1966) starring Raymond Burr. A second television series, The New Perry Mason starring Monte Markham, ran from 1973 to 1974; and 30 Perry Mason television films ran from 1985 to 1995, with Burr reprising the role of Mason in 26 of them prior to his death in 1993. A third television series, HBO's Perry Mason starring Matthew Rhys, started airing in 2020.
The Perry Mason series ranks third in the top ten best selling book series. In 2015, the American Bar Association's publishing imprint, Ankerwycke, began reissuing Gardner's Perry Mason books, which had been out of print in the United States.",,,,,,,perry
122,122,gilbert gaul,https://www.wikigallery.org//wiki/artist46492/Gilbert-Gaul/page-1,,,,,,,,gaul
123,123,gaston de la touche,https://www.wikigallery.org//wiki/artist50406/Gaston-de-La-Touche/page-1,"Gaston La Touche, or de La Touche (24 October 1854 – 12 July 1913), was a French painter, illustrator, engraver and sculptor.",,,,,,,touche
124,124,john tenniel,https://www.wikigallery.org//wiki/artist43074/John-Tenniel/page-1,"Sir John Tenniel (; 28 February 1820 – 25 February 1914) was an English illustrator, graphic humorist and political cartoonist prominent in the second half of the 19th century. An alumnus of the Royal Academy of Arts in London, he was knighted for artistic achievements in 1893, the first such honour ever bestowed on an illustrator or cartoonist.
Tenniel is remembered mainly as the principal political cartoonist for Punch magazine for over 50 years and for his illustrations to Lewis Carroll's Alice's Adventures in Wonderland (1865) and Through the Looking-Glass, and What Alice Found There (1871). Tenniel's detailed black-and-white drawings remain the definitive depiction of the Alice characters, with comic book illustrator and writer Bryan Talbot stating, ""Carroll never describes the Mad Hatter: our image of him is pure Tenniel.""

",124.0,7.0,7.0,1820-02-28,1914-02-25,,tenniel
125,125,thomas ralph spence,https://www.wikigallery.org//wiki/artist41074/Thomas-Ralph-Spence/page-1,,,,,,,,spence
126,126,albert edelfelt,https://www.wikigallery.org//wiki/artist34743/Albert-Edelfelt/page-1,"Albert Gustaf Aristides Edelfelt (21 July 1854 – 18 August 1905) was a Finnish-Swedish painter noted for his naturalistic style and Realist approach to art. He lived in the Grand Duchy of Finland and made Finnish culture visible abroad, before Finland gained full independence.",126.0,68.0,68.0,1854-07-21,1905-08-18,,edelfelt
127,127,joseph nash,https://www.wikigallery.org//wiki/artist36320/Joseph-Nash/page-1,"Joseph Nash (17 December 1809 – 19 December 1878) was an English watercolour painter and lithographer, specialising in historical buildings. His major work was the 4-volume Mansions of England in the Olden Time, published from 1839–49.

",,69.0,,1809-12-17,1878-12-19,,nash
128,128,tivadar kosztka csontváry,https://www.wikigallery.org//wiki/artist34500/Tivadar-Kosztka-Csontv%C3%83%C2%A1ry/page-1,"Tivadar Csontváry Kosztka (Hungarian pronunciation: [ˈtivɒdɒr ˈt͡ʃontvaːri ˈkostkɒ]; 5 July 1853 – 20 June 1919) was a Hungarian painter who was part of the avant-garde movement of the early twentieth century. Working mostly in Budapest, he was one of the first Hungarian painters to become  known in Europe. On 15 December 2006 the Kieselbach Gallery in Budapest sold an auction the most expensive Csontváry painting so far. The Rendezvous (1902) (""Meeting of the lovers"") was bought by an anonymous client for more than one million EUR.
His works are held by the Hungarian National Gallery in Budapest and the Csontváry Museum in Pécs, among other institutions and private collectors.",128.0,70.0,156.0,,1919-06-20,,csontváry
129,129,collier twentyman smithers,https://www.wikigallery.org//wiki/artist44772/Collier-Twentyman-Smithers/page-1,"Collier Twentyman Smithers (1867 – 7 December 1943) was a portrait, figure and rustic painter.  He was born in Buenos Aires, the son of Arthur Edward Smithers, a banker.
In 1892 Smithers was living at 5 Primrose Hill Studios off Fitzroy Road, north London.  This may account for his stylistic similarity to John William Waterhouse, who also lived at Primrose Hill Studios.
From 1892 to 1936 he exhibited at the Royal Academy; the Royal Society of British Artists, Birmingham; Walker Art Gallery, Liverpool; Manchester City Art Gallery; New Gallery; and the Royal Hibernian Academy and his work received popular reviews. He was a Freeman of the City of London, being admitted to the Worshipful Company of Turners in 1893.
He died in 1943 at 36 Roland Gardens, London.",,,,,,,smithers
130,130,grant wood,https://www.wikigallery.org//wiki/artist36685/Grant-Wood/page-1,"Grant DeVolson Wood (February 13, 1891  – February 12, 1942) was an American painter and representative of Regionalism, best known for his paintings depicting the rural American Midwest. He is particularly well known for American Gothic (1930), which has become an iconic example of early 20th-century American art.

",130.0,71.0,377.0,1891-02-13,1942-02-12,,wood
131,131,gabriel joseph marie augustin ferrier,https://www.wikigallery.org//wiki/artist42112/Gabriel-Joseph-Marie-Augustin-Ferrier/page-1,Gabriel-Joseph-Marie-Augustin Ferrier (29 September 1847 in Nîmes – 6 June 1914 in Paris) was a French portrait painter and orientalist.,,,,,,,ferrier
132,132,edvard munch,https://www.wikigallery.org//wiki/artist36535/Edvard-Munch/page-1,,,,,,,,munch
133,133,federico de madrazo y kuntz,https://www.wikigallery.org//wiki/artist34107/Federico-de-Madrazo-y-Kuntz/page-1,"Federico de Madrazo y Kuntz (9 February 1815 – 10 June 1894) was a Spanish painter.

",133.0,72.0,104.0,1815-02-09,1894-06-10,,kuntz
134,134,salvador dali,https://www.wikigallery.org//wiki/artist41779/Salvador-Dali/page-1,,,,,,,,dali
135,135,ulpiano checa y sanz,https://www.wikigallery.org//wiki/artist45585/Ulpiano-Checa-y-Sanz/page-1,"Ulpiano Fernández-Checa y Sanz (April 3, 1860 – January 5, 1916), known as Ulpiano Checa, was a Spanish painter, sculptor, poster designer and illustrator. He used both impressionistic and academic techniques, and mainly painted historical subjects.

",135.0,73.0,,1860-04-03,1916-01-05,,sanz
136,136,alfred morgan,https://www.wikigallery.org//wiki/artist48860/Alfred-Morgan/page-1,,,,,,,,morgan
137,137,william holbrook beard,https://www.wikigallery.org//wiki/artist39015/William-Holbrook-Beard/page-1,"William Holbrook Beard (April 13, 1824 – February 20, 1900) was an  American artistic painter who is known best for his satirical paintings of beasts performing human-like activities.",,,,,,,beard
138,138,walter withers,https://www.wikigallery.org//wiki/artist36839/Walter-Withers/page-1,Walter Herbert Withers (22 October 1854 – 13 October 1914) was an English-born Australian landscape artist and a member of the Heidelberg School of Australian impressionists.,138.0,74.0,378.0,1854-10-22,1914-10-13,,withers
139,139,tamara de lempicka,https://www.wikigallery.org//wiki/artist36441/Tamara-de-Lempicka/page-1,"Tamara Łempicka (born Tamara Rosalia Gurwik-Górska; 16 May 1898 – 18 March 1980), better known as Tamara de Lempicka, was a Polish painter who spent her working life in France and the United States. She is best known for her polished Art Deco portraits of aristocrats and the wealthy, and for her highly stylized paintings of nudes.
Born in Warsaw, Lempicka briefly moved to Saint Petersburg where she married Tadeusz Łempicki, a prominent Polish lawyer, then travelled to Paris. She studied painting with Maurice Denis and André Lhote. Her style was a blend of late, refined cubism and the  neoclassical style, particularly inspired by the work of Jean-Dominique Ingres. She was an active participant in the artistic and social life of Paris between the wars. In 1928 she became the mistress of Baron Raoul Kuffner, a wealthy art collector from the former Austro-Hungarian Empire. After her divorce from Łempicki in 1931 and the death of his wife in 1933, Kuffner married Lempicka in 1934, and thereafter she became known in the press as ""The Baroness with a Brush"".
Following the outbreak of World War II in 1939, she and her husband moved to the United States and she painted celebrity portraits, as well as still lifes and, in the 1960s, some abstract paintings. Her work was out of fashion after World War II, but made a comeback in the late 1960s, with the rediscovery of Art Deco. She moved to Mexico in 1974, where she died in 1980. At her request, her ashes were scattered over the Popocatépetl volcano.",139.0,75.0,379.0,1898-05-16,1980-03-18,,lempicka
140,140,sir joshua reynolds,https://www.wikigallery.org//wiki/artist39203/Sir-Joshua-Reynolds/page-1,"Sir Joshua Reynolds  (16 July 1723 – 23 February 1792) was an English painter who specialised in portraits. John Russell said he was one of the major European painters of the 18th century. He promoted the ""Grand Style"" in painting which depended on idealization of the imperfect. He was a founder and first president of the Royal Academy of Arts, and was knighted by George III in 1769.",140.0,76.0,380.0,1723-07-16,1792-02-23,,reynolds
141,141,girolamo francesco maria mazzola parmigianino,https://www.wikigallery.org//wiki/artist36772/Girolamo-Francesco-Maria-Mazzola-%28Parmigianino%29/page-1,"Girolamo Francesco Maria Mazzola (11 January 1503 – 24 August 1540), also known as Francesco Mazzola or, more commonly, as Parmigianino (UK: , US: , Italian: [parmidʒaˈniːno]; ""the little one from Parma""), was an Italian Mannerist painter and printmaker active in Florence, Rome, Bologna, and his native city of Parma. His work is characterized by a ""refined sensuality"" and often elongation of forms and includes Vision of Saint Jerome (1527) and the iconic if somewhat anomalous Madonna with the Long Neck (1534), and he remains the best known artist of the first generation whose whole careers fall into the Mannerist period.His prodigious and individual talent has always been recognised, but his career was disrupted by war, especially the Sack of Rome in 1527, three years after he moved there, and then ended by his death at only 37.  He produced outstanding drawings, and was one of the first Italian painters to experiment with printmaking himself.  While his portable works have always been keenly collected and are now in major museums in Italy and around the world, his two large  projects in fresco are in a church in Parma and a palace in a small town nearby.  This in conjunction with their lack of large main subjects has resulted in their being less well known than other works by similar artists. He painted a number of important portraits, leading a trend in Italy towards the three-quarters or full-length figure, previously mostly reserved for royalty.",141.0,77.0,381.0,1503-01-11,1540-08-24,,parmigianino
142,142,victor honore janssens,https://www.wikigallery.org//wiki/artist62400/Victor-Honore-Janssens/page-1,"Victor Honorius Janssens or Victor Honoré Janssens (or Jansens) (11 June 1658 – 14 August 1736) was a Flemish painter of religious and mythological works and a tapestry designer.  He spent a substantial period of his career abroad and worked in Germany, Italy, Vienna and London. He was court painter of Emperor Charles VI of Austria in Vienna. He is mainly known for his mythological and history paintings.",,,,,,,janssens
143,143,platt powell ryder,https://www.wikigallery.org//wiki/artist42971/Platt-Powell-Ryder/page-1,,,,,,,,ryder
144,144,heinz pinggera,https://www.wikigallery.org//wiki/artist48409/Heinz-Pinggera/page-1,,,,,,,,pinggera
145,145,harry hamilton johnston,https://www.wikigallery.org//wiki/artist49891/Harry-Hamilton-Johnston/page-1,"Sir Henry Hamilton Johnston  (12 June 1858 – 31 July 1927),  known as Harry Johnston, was a British explorer, botanist, artist, colonial administrator, and linguist who travelled widely in Africa and spoke many African languages. He published 40 books on African subjects and was one of the key players in the Scramble for Africa that occurred at the end of the 19th century.",,,,,,,johnston
146,146,alphonse maria mucha,https://www.wikigallery.org//wiki/artist39624/Alphonse-Maria-Mucha/page-1,"Alfons Maria Mucha (Czech: [ˈalfons ˈmuxa] (listen); 24 July 1860 – 14 July 1939), known internationally as Alphonse Mucha, was a Czech painter, illustrator and graphic artist, living in Paris during the Art Nouveau period, best known for his distinctly stylized and decorative theatrical posters, particularly those of Sarah Bernhardt. He produced illustrations, advertisements, decorative panels, as well as designs, which became among the best-known images of the period.In the second part of his career, at the age of 57, he returned to his homeland and devoted himself to a series of twenty monumental canvases known as The Slav Epic, depicting the history of all the Slavic peoples of the world, which he painted between 1912 and 1926. In 1928, on the 10th anniversary of the independence of Czechoslovakia, he presented the series to the Czech nation. He considered it his most important work.",146.0,78.0,382.0,1860-07-24,1939-07-14,,mucha
147,147,henriette ronner-knip,https://www.wikigallery.org//wiki/artist45746/Henriette-Ronner-Knip/page-1,Henriëtte Ronner-Knip (31 May 1821 – 2 March 1909) was a Dutch-Belgian artist in the Romantic style who is best known for her animal paintings; especially cats.,147.0,79.0,383.0,1821-05-31,1909-03-02,,ronner-knip
148,148,marsden hartley,https://www.wikigallery.org//wiki/artist62309/Marsden-Hartley/page-1,"Marsden Hartley (January 4, 1877 – September 2, 1943) was an American Modernist painter, poet, and essayist. Hartley developed his painting abilities by observing Cubist artists in Paris and Berlin.",148.0,80.0,384.0,1877-01-04,1943-09-02,,hartley
149,149,anton raphael mengs,https://www.wikigallery.org//wiki/artist33817/Anton-Raphael-Mengs/page-1,"Anton Raphael Mengs (22 March 1728 – 29 June 1779) was a German painter, active in Dresden, Rome, and Madrid, who while painting in the Rococo period of the mid-18th century became one of the precursors to Neoclassical painting, which replaced Rococo as the dominant painting style in Europe.",149.0,81.0,72.0,1728-03-12,1779-06-29,,mengs
150,150,angelica kauffmann,https://www.wikigallery.org//wiki/artist34533/Angelica-Kauffmann/page-1,,,,,,,,kauffmann
151,151,guido reni,https://www.wikigallery.org//wiki/artist39290/Guido-Reni/page-1,"Guido Reni (Italian pronunciation: [ˌɡwiːdo ˈrɛːni]; 4 November 1575 – 18 August 1642) was an Italian painter of the Baroque period, although his works showed a classical manner, similar to Simon Vouet, Nicolas Poussin, and Philippe de Champaigne. He painted primarily religious works, but also mythological and allegorical subjects. Active in Rome, Naples, and his native Bologna, he became the dominant figure in the Bolognese School that emerged under the influence of the Carracci.",151.0,29.0,29.0,,1642-08-18,,reni
153,153,cassius marcellus coolidge,https://www.wikigallery.org//wiki/artist56501/Cassius-Marcellus-Coolidge/page-1,"Cassius Marcellus Coolidge (September 18, 1844 – January 13, 1934) was an American artist, mainly known for his series of paintings Dogs Playing Poker. Known as ""Cash"" or ""Kash"" in his family, he often signed his work in the 19th century with the latter spelling, sometimes spelling his name, for comic effect, as Kash Koolidge.",153.0,66.0,385.0,1844-09-18,1934-01-13,,coolidge
154,154,sir lawrence alma-tadema,https://www.wikigallery.org//wiki/artist46077/Sir-Lawrence-Alma-Tadema/page-1,"Sir Lawrence Alma-Tadema,  (; born Lourens Alma Tadema Dutch pronunciation: [ˈlʌurəns ˈɑlmaː ˈtaːdəˌmaː]; 8 January 1836 – 25 June 1912) was a Dutch painter who later settled in the United Kingdom becoming the last officially recognised denizen in 1873.  Born in Dronryp, the Netherlands, and trained at the Royal Academy of Antwerp, Belgium, he settled in London, England in 1870 and spent the rest of his life there. A classical-subject painter, he became famous for his depictions of the luxury and decadence of the Roman Empire, with languorous figures set in fabulous marbled interiors or against a backdrop of dazzling blue Mediterranean Sea and sky. Alma-Tadema was considered one of the most popular Victorian painters. Though admired during his lifetime for his draftsmanship and depictions of Classical antiquity, his work fell into disrepute after his death, and only since the 1960s has it been re-evaluated for its importance within nineteenth-century British art.",154.0,82.0,386.0,1836-01-08,1912-06-25,,alma-tadema
155,155,bartolome esteban murillo,https://www.wikigallery.org//wiki/artist36329/Bartolome-Esteban-Murillo/page-1,"Bartolomé Esteban Murillo ( mure-IL-oh, m(y)uu-REE-oh, Spanish: [baɾtoloˈme esˈteβam muˈɾiʎo]; late December 1617, baptized January 1, 1618 – April 3, 1682) was a Spanish Baroque painter. Although he is best known for his religious works, Murillo also produced a considerable number of paintings of contemporary women and children. These lively realistic portraits of flower girls, street urchins, and beggars constitute an extensive and appealing record of the everyday life of his times. He also painted two self-portraits, one in the Frick Collection portraying him in his 30s, and one in London's National Gallery portraying him about 20 years later. In 2017–18, the two museums held an exhibition of them.",155.0,83.0,83.0,1618-01-01,1682-04-03,,murillo
156,156,leonardo da vinci,https://www.wikigallery.org//wiki/artist46493/Leonardo-Da-Vinci/page-1,"Leonardo di ser Piero da Vinci (15 April 1452 – 2 May 1519) was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. While his fame initially rested on his achievements as a painter, he also became known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and paleontology. Leonardo is widely regarded to have been a genius who epitomized the Renaissance humanist ideal, and his collective works comprise a contribution to later generations of artists matched only by that of his younger contemporary, Michelangelo.Born out of wedlock to a successful notary and a lower-class woman in, or near, Vinci, he was educated in Florence by the Italian painter and sculptor Andrea del Verrocchio. He began his career in the city, but then spent much time in the service of Ludovico Sforza in Milan. Later, he worked in Florence and Milan again, as well as briefly in Rome, all while attracting a large following of imitators and students. Upon the invitation of Francis I, he spent his last three years in France, where he died in 1519. Since his death, there has not been a time where his achievements, diverse interests, personal life, and empirical thinking have failed to incite interest and admiration, making him a frequent namesake and subject in culture.
Leonardo is identified as one of the greatest painters in the history of art and is often credited as the founder of the High Renaissance. Despite having many lost works and less than 25 attributed major works—including numerous unfinished works—he created some of the most influential paintings in Western art. His magnum opus, the Mona Lisa, is his best known work and often regarded as the world's most famous painting. The Last Supper is the most reproduced religious painting of all time and his Vitruvian Man drawing is also regarded as a cultural icon. In 2017, Salvator Mundi, attributed in whole or part to Leonardo, was sold at auction for US$450.3 million, setting a new record for the most expensive painting ever sold at public auction.
Revered for his technological ingenuity, he conceptualized flying machines, a type of armored fighting vehicle, concentrated solar power, a ratio machine that could be used in an adding machine, and the double hull. Relatively few of his designs were constructed or even feasible during his lifetime, as the modern scientific approaches to metallurgy and engineering were only in their infancy during the Renaissance. Some of his smaller inventions, however, entered the world of manufacturing unheralded, such as an automated bobbin winder and a machine for testing the tensile strength of wire. He made substantial discoveries in anatomy, civil engineering, hydrodynamics, geology, optics, and tribology, but he did not publish his findings and they had little to no direct influence on subsequent science.",156.0,84.0,387.0,1452-04-15,1519-05-02,,vinci
157,157,paolo veronese caliari,https://www.wikigallery.org//wiki/artist36439/Paolo-Veronese-%28Caliari%29/page-1,"Paolo Caliari (1528 – 19 April 1588), known as Paolo Veronese ( VERR-ə-NAY-zay, -⁠zee, also US:  -⁠see, Italian: [ˈpaːolo veroˈneːze, -eːse]), was an Italian Renaissance painter based in Venice, known for extremely large history paintings of religion and mythology, such as The Wedding at Cana (1563) and The Feast in the House of Levi (1573). Included with Titian, a generation older, and Tintoretto, a decade senior, Veronese is one of the ""great trio that dominated Venetian painting of the cinquecento"" and the Late Renaissance in the 16th century. Known as a supreme colorist, and after an early period with Mannerism, Paolo Veronese developed a naturalist style of painting, influenced by Titian.

His most famous works are elaborate narrative cycles, executed in a dramatic and colorful style, full of majestic architectural settings and glittering pageantry. His large paintings of biblical feasts, crowded with figures, painted for the refectories of monasteries in Venice and Verona are especially famous, and he was also the leading Venetian painter of ceilings. Most of these works remain in situ, or at least in Venice, and his representation in most museums is mainly composed of smaller works such as portraits that do not always show him at his best or most typical.
He has always been appreciated for ""the chromatic brilliance of his palette, the splendor and sensibility of his brushwork, the aristocratic elegance of his figures, and the magnificence of his spectacle"", but his work has been felt ""not to permit expression of the profound, the human, or the sublime"", and of the ""great trio"" he has often been the least appreciated by modern criticism. Nonetheless, ""many of the greatest artists ... may be counted among his admirers, including Rubens, Watteau, Tiepolo, Delacroix, and Renoir"".",157.0,54.0,14.0,,1588-04-19,,caliari
158,158,charles henri leickert,https://www.wikigallery.org//wiki/artist42906/Charles-Henri-Leickert/page-1,"Charles Henri Joseph Leickert (22 September 1816, Brussels – 5 December 1907, Mainz) was a Belgian painter of Dutch landscapes. As a specialist in winter landscapes, he explored the nuances of the evening sky and the rosy-fingered dawn.",,,,,,,leickert
159,159,giuseppe pellizza da volpedo,https://www.wikigallery.org//wiki/artist36767/Giuseppe-Pellizza-da-Volpedo/page-1,"Giuseppe Pellizza da Volpedo (28 July 1868 – 14 June 1907) was an Italian  divisionist painter. He was born and died in Volpedo, in the Piedmont region of northern Italy.
Pellizza was a pupil of Pio Sanquirico. He used a divisionist technique in which a painting is created by juxtaposing small dots of paint according to specific color theory. Although he exhibited often, his work achieved popularity in death through their reproduction in socialist magazines and the acclaim they received from 20th century art critics.",159.0,85.0,85.0,1868-07-28,1907-06-14,,volpedo
160,160,j. haier,https://www.wikigallery.org//wiki/artist52576/J.-Haier/page-1,"Haier Group Corporation () is a Chinese multinational home appliances and consumer electronics company headquartered in Qingdao, Shandong. It designs, develops, manufactures and sells products including refrigerators, air conditioners, washing machines, dryers, microwave ovens, mobile phones, computers, and televisions. The home appliances business, namely Haier Smart Home, has seven global brands – Haier, Casarte, Leader, GE Appliances, Fisher & Paykel, Aqua and Candy.
According to data released by Euromonitor, Haier was the number one brand globally in major appliances for 10 consecutive years from 2009 to 2018. The Haier brand was also recognized by BrandZ in 2019 as the most valuable IoT ecosystem brand in the world with a brand value of $16.3 billion. In 2019, Haier Smart Home ranked 448 on Fortune's Global 500 list with a revenue of $27.7 billion.
Haier Group also consisted of two listed subsidiaries in three exchanges: Haier Smart Home (SSE: 600690; ex-Qingdao Haier Co., Ltd.), Haier Electronics Group Co., Ltd. (SEHK: 1169), and ""D-share"" listing of Haier Smart Home in China Europe International Exchange of Frankfurt.",,,,,,,haier
161,161,georges lacombe,https://www.wikigallery.org//wiki/artist34101/Georges-Lacombe/page-1,,,,,,,,lacombe
162,162,jacopo tintoretto robusti,https://www.wikigallery.org//wiki/artist35636/Jacopo-Tintoretto-%28Robusti%29/page-1,"Tintoretto ( TIN-tə-RET-oh, Italian: [tintoˈretto], Venetian: [tiŋtoˈɾeto]; born Jacopo Robusti; late September or early October 1518 – 31 May 1594) was an Italian painter identified with the Venetian school. His contemporaries both admired and criticized the speed with which he painted, and the unprecedented boldness of his brushwork. For his phenomenal energy in painting he was termed Il Furioso (""The Furious""). His work is characterised by his muscular figures, dramatic gestures and bold use of perspective, in the Mannerist style.",67.0,14.0,14.0,,1594-05-31,,robusti
163,163,victor tortez,https://www.wikigallery.org//wiki/artist5686/Victor-Tortez/page-1,"Victor Tortez (18 July 1843 — 1890) was a French painter of the beaux arts school, taught by Jean-Jacques Henner. His paintings ranged from studio portraits of aristocrats to nude studies of women and children.
Tortez was born in Paris and was a pupil of Jean-Léon Gérôme.",,,,,,,tortez
164,164,horatio henry couldery,https://www.wikigallery.org//wiki/artist48425/Horatio-Henry-Couldery/page-1,"Horatio Henry Couldery (1832–1918) was an English animal painter and illustrator noted especially for his depictions of domestic cats, kittens and dogs. He was born in Lewisham, London, and trained as a cabinetmaker before abandoning that trade to study art at the Royal Academy of Arts, and exhibited there as well as at the British Institution, the Royal Society of British Artists gallery in Suffolk Street, and other notable galleries both in the capital and the regions.In 1861 he exhibited his first piece at the Royal Academy, entitled ""On Dangerous Ground.""  This painting, which features two tabby kittens discovering a table with fish, is in the collection at Glanmore National Historic Site in Belleville, Ontario Canada.  Glanmore has an artifact collection known as the Couldery Collection.  Horatio H. Couldery's brother and sister-in-law Bertram and Cecilia Couldery travelled to Belleville in the 1880s and kept a second home there.  Their collection of fine art, decorative objects and furniture was given to the City of Belleville in the 1950s and is housed at Glanmore National Historic Site.  The collection includes 42 paintings by Horatio Henry Couldery, and is considered to be the world's largest collection of his work held in public trust.
He worked as a professional artist, illustrating children’s books and greeting cards as well as creating commissioned pieces.  Couldery painted with a sense of humour, often portraying animals in mischievous situations that successfully captured the character and personality of beloved pets. He was noted for his skillful depiction of the texture of animal fur in minute detail. His work, with its great attention to detail, was highly regarded by art critic John Ruskin.  Ruskin reviewed a cat painting exhibited in 1875 and said it was ""“…quite the most skillful piece of minutiae and Dureresque painting in the exhibition – (it cannot rightly be seen without a lens): and in its sympathy with kitty nature…unsurpassable.”Couldery's first wife Rachel Elizabeth died a few years after their marriage.  In 1874 he married Ellen Angus Homes and they had six children.  His art career flourished until about 1893.  Many websites incorrectly state 1893 as his date of death.  According to death registration he actually died February 4, 1918 at Elizabeth Villa, Addington Grove, Sydenham County, Kent.",,,,,,,couldery
165,165,lorenzo lippi,https://www.wikigallery.org//wiki/artist50762/Lorenzo-Lippi/page-1,Lorenzo Lippi (3 May 1606 – 15 April 1665) was an Italian painter and poet.,165.0,28.0,28.0,1606-05-03,1665-04-15,,lippi
